NUTS-Code,Description,Remark
FR1,ÎLE DE FRANCE,
FR2,BASSIN PARISIEN,
FR3,NORD - PAS-DE-CALAIS,
FR4,EST,
FR5,OUEST,
FR6,SUD-OUEST,
FR7,CENTRE-EST,
FR8,MÉDITERRANÉE,
FRA,DÉPARTEMENTS D'OUTRE-MER,
FRZ,EXTRA-REGIO NUTS 1,
FR10,Île de France,
FR21,Champagne-Ardenne,
FR22,Picardie,
FR23,Haute-Normandie,
FR24,Centre,
FR25,Basse-Normandie,
FR26,Bourgogne,
FR30,Nord - Pas-de-Calais,
FR41,Lorraine,
FR42,Alsace,
FR43,Franche-Comté,
FR51,Pays de la Loire,
FR52,Bretagne,
FR53,Poitou-Charentes,
FR61,Aquitaine,
FR62,Midi-Pyrénées,
FR63,Limousin,
FR71,Rhône-Alpes,
FR72,Auvergne,
FR81,Languedoc-Roussillon,
FR82,Provence-Alpes-Côte d'Azur,
FR83,Corse,
FRA1,Guadeloupe,
FRA2,Martinique,
FRA3,Guyane,
FRA4,La Réunion,
FRA5,Mayotte,
FRZZ,Extra-Regio NUTS 2,
FR101,Paris,
FR102,Seine-et-Marne,
FR103,Yvelines,
FR104,Essonne,
FR105,Hauts-de-Seine,
FR106,Seine-Saint-Denis,
FR107,Val-de-Marne,
FR108,Val-d'Oise,
FR211,Ardennes,
FR212,Aube,
FR213,Marne,
FR214,Haute-Marne,
FR221,Aisne,
FR222,Oise,
FR223,Somme,
FR231,Eure,
FR232,Seine-Maritime,
FR241,Cher,
FR242,Eure-et-Loir,
FR243,Indre,
FR244,Indre-et-Loire,
FR245,Loir-et-Cher,
FR246,Loiret,
FR251,Calvados,
FR252,Manche,
FR253,Orne,
FR261,Côte-d'Or,
FR262,Nièvre,
FR263,Saône-et-Loire,
FR264,Yonne,
FR301,Nord,
FR302,Pas-de-Calais,
FR411,Meurthe-et-Moselle,
FR412,Meuse,
FR413,Moselle,
FR414,Vosges,
FR421,Bas-Rhin,
FR422,Haut-Rhin,
FR431,Doubs,
FR432,Jura,
FR433,Haute-Saône,
FR434,Territoire de Belfort,
FR511,Loire-Atlantique,
FR512,Maine-et-Loire,
FR513,Mayenne,
FR514,Sarthe,
FR515,Vendée,
FR521,Côtes-d'Armor,
FR522,Finistère,
FR523,Ille-et-Vilaine,
FR524,Morbihan,
FR531,Charente,
FR532,Charente-Maritime,
FR533,Deux-Sèvres,
FR534,Vienne,
FR611,Dordogne,
FR612,Gironde,
FR613,Landes,
FR614,Lot-et-Garonne,
FR615,Pyrénées-Atlantiques,
FR621,Ariège,
FR622,Aveyron,
FR623,Haute-Garonne,
FR624,Gers,
FR625,Lot,
FR626,Hautes-Pyrénées,
FR627,Tarn,
FR628,Tarn-et-Garonne,
FR631,Corrèze,
FR632,Creuse,
FR633,Haute-Vienne,
FR711,Ain,
FR712,Ardèche,
FR713,Drôme,
FR714,Isère,
FR715,Loire,
FR716,Rhône,
FR717,Savoie,
FR718,Haute-Savoie,
FR721,Allier,
FR722,Cantal,
FR723,Haute-Loire,
FR724,Puy-de-Dôme,
FR811,Aude,
FR812,Gard,
FR813,Hérault,
FR814,Lozère,
FR815,Pyrénées-Orientales,
FR821,Alpes-de-Haute-Provence,
FR822,Hautes-Alpes,
FR823,Alpes-Maritimes,
FR824,Bouches-du-Rhône,
FR825,Var,
FR826,Vaucluse,
FR831,Corse-du-Sud,
FR832,Haute-Corse,
FRA10,Guadeloupe,
FRA20,Martinique,
FRA30,Guyane,
FRA40,La Réunion,
FRA50,Mayotte,
FRZZZ,Extra-Regio NUTS 3,
