FR;France
FR1;Île de France
FR10;Île de France
FR2;Bassin Parisien (NUTS 2013)
FR21;Champagne-Ardenne (NUTS 2013)
FR22;Picardie (NUTS 2013)
FR23;Haute-Normandie (NUTS 2013)
FR24;Centre (FR) (NUTS 2013)
FR25;Basse-Normandie (NUTS 2013)
FR26;Bourgogne (NUTS 2013)
FR3;Nord - Pas-de-Calais (NUTS 2013)
FR30;Nord - Pas-de-Calais (NUTS 2013)
FR4;Est (FR) (NUTS 2013)
FR41;Lorraine (NUTS 2013)
FR42;Alsace (NUTS 2013)
FR43;Franche-Comté (NUTS 2013)
FR5;Ouest (FR) (NUTS 2013)
FR51;Pays de la Loire (NUTS 2013)
FR52;Bretagne (NUTS 2013)
FR53;Poitou-Charentes (NUTS 2013)
FR6;Sud-Ouest (FR) (NUTS 2013)
FR61;Aquitaine (NUTS 2013)
FR62;Midi-Pyrénées (NUTS 2013)
FR63;Limousin (NUTS 2013)
FR7;Centre-Est (FR) (NUTS 2013)
FR71;Rhône-Alpes (NUTS 2013)
FR72;Auvergne (NUTS 2013)
FR8;Méditerranée (NUTS 2013)
FR81;Languedoc-Roussillon (NUTS 2013)
FR82;Provence-Alpes-Côte d'Azur (NUTS 2013)
FR83;Corse (NUTS 2013)
