;unit;sex;age;geo_niv_0;geo_niv_1;geo_niv_2;region;icd10_niv_0;icd10_nom_niv_0;icd10_niv_1;icd10_nom_niv_1;icd10_niv_2;icd10_nom_niv_2;icd10_niv_3;maladies;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994
144;RT;F;TOTAL;FR;FR;FR;France;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;864.04;810.56;816.66;824.57;797.53;808.5;806.6;801.9;781.6;779.3;804.7;777.5;868.2;839.1;835.3;: ;: ;: ;: ;: ;: ;:
145;RT;F;TOTAL;FR;FR1;FR10;ile de France;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;602.05;569.34;585.5;593.06;580.58;582.7;585.1;583.9;573.8;573;592.2;575.4;684.3;640.7;649.4;649.2;660.7;670.5;671.1;681.2;686.3;669.9
146;RT;F;TOTAL;FR;FR2;FR21;Champagne-Ardenne ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;971.97;895.16;938.19;929;884.1;875.7;900.1;878.4;855;837.6;857.6;847;898.5;866.6;870.9;877.6;900.1;858.5;861.1;874;881;842.5
147;RT;F;TOTAL;FR;FR2;FR22;Picardie ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;893.97;836.16;867;871.19;837.08;829.3;827;854.3;824;800.4;800.6;795.4;880.7;844.1;830.9;829;839.5;828.4;838.8;844.8;834.7;794.2
148;RT;F;TOTAL;FR;FR2;FR23;Haute-Normandie ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;888.27;840.43;850.8;861.78;836.08;825.9;820.1;821.1;795.3;802.1;813.6;776.9;867.2;827;833;820.2;814.5;830.9;811.7;844.8;833;777.1
149;RT;F;TOTAL;FR;FR2;FR24;Centre  ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;977.34;894.21;938.61;920.87;873.66;910.6;926.9;896.4;868;863.1;880.7;860.9;1004.7;941.5;934.8;934.6;949.7;933.6;928.5;928.5;932.6;894.4
150;RT;F;TOTAL;FR;FR2;FR25;Basse-Normandie ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;1007.38;961.31;981.08;977.01;906.15;916;913.7;902.4;879.3;861.2;886.5;858;895.4;865.3;884;889;891.7;888.3;890.1;897;888.6;853.2
151;RT;F;TOTAL;FR;FR2;FR26;Bourgogne ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;1104.36;1008.95;1036.97;1046.99;1011.75;984.2;1001.6;996.7;956.1;964.7;997.8;922.8;1073.9;1025.3;1015.1;1024.6;1051.7;1022.4;1029.7;1028.4;1012.4;976
152;RT;F;TOTAL;FR;FR3;FR30;Nord - Pas-de-Calais ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;883.36;832.85;872.56;869.9;831.09;845.5;836.6;839.8;821.4;815.2;830.3;796.2;860.6;852;829.4;837.1;856.1;839.6;840.7;847;836.6;818.7
153;RT;F;TOTAL;FR;FR4;FR41;Lorraine ;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;A-R_V-Y;Toutes causes de mortalite;971.72;893.21;922.12;914.85;855.2;863.8;843.6;853.2;828.7;843;858;821;902.5;886.4;838.7;860.7;864.3;851.8;851.7;861.8;843;832.3
