;unit;sex;age;geo_niv_0;geo_niv_1;geo_niv_2;region;icd10_niv_0;icd10_niv_1;icd10_niv_2;icd10_niv_3;maladies;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994
456;RT;F;TOTAL;FR;FR1;FR10;ile de France;A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.67;0.56;0.69;0.6;0.72;0.8;0.8;0.8;0.9;1.1;1.1;1.1;1.3;1.2;1.4;1.5;1.7;1.5;1.4;1.4;1.6;1.4
457;RT;F;TOTAL;FR;FR2;FR21;Champagne-Ardenne (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.87;0.73;0.58;1.02;1.02;0.6;0.9;1.2;0.9;0.7;1.3;0.4;1.2;1.2;2;0.7;2.2;0.7;0.9;2.2;1.3;2.8
458;RT;F;TOTAL;FR;FR2;FR22;Picardie (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.1;0.51;0.51;0.41;0.81;0.4;0.6;0.5;0.7;0.4;0.6;0.7;0.9;1.6;1.6;1.4;1.1;1.3;1.3;1.2;1;1.7
459;RT;F;TOTAL;FR;FR2;FR23;Haute-Normandie (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;1.04;0.73;0.73;0.84;1.16;1.4;1.2;1.6;0.7;1.5;1.5;1.2;1.5;1.4;2.7;1.4;2.5;1.4;1.8;1.1;2.1;2.1
460;RT;F;TOTAL;FR;FR2;FR24;Centre (FR) (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.45;0.83;0.45;0.98;1.37;1.1;0.8;0.9;1.2;1.2;1.7;1.6;1.8;2.1;2;1.7;2.2;2.1;1.7;1.5;2.1;2.3
461;RT;F;TOTAL;FR;FR2;FR25;Basse-Normandie (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;1.05;0.92;0.92;1.18;1.05;1.1;1.6;0.9;1.1;1.2;1.2;1.9;1.7;1.5;1.6;1.6;0.8;3;2.3;1.4;1;1.5
462;RT;F;TOTAL;FR;FR2;FR26;Bourgogne (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.24;1.54;1.42;0.71;0.83;1.2;1.4;1.2;1.1;1.4;1.7;1.4;1.3;2.8;1.7;1.8;2.3;1.9;1.8;1.8;2.1;2.5
463;RT;F;TOTAL;FR;FR3;FR30;Nord - Pas-de-Calais (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.52;0.48;0.57;0.95;0.86;0.6;0.8;0.9;0.8;1;1.1;1.1;1.1;1.3;1.3;1.2;1.5;1.4;1.5;1.5;1.4;1.4
464;RT;F;TOTAL;FR;FR4;FR41;Lorraine (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.59;0.92;0.92;0.5;0.75;0.7;0.7;1.3;1.1;1;1.4;1.5;1.3;0.8;0.9;1.2;1.8;1.6;0.9;1.1;1.4;0.9
465;RT;F;TOTAL;FR;FR4;FR42;Alsace (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.62;0.94;0.94;0.63;0.84;0.5;0.6;1.4;0.7;0.4;0.6;1;1.5;1.5;1.3;0.9;2;1.4;1.4;2.1;0.9;2
466;RT;F;TOTAL;FR;FR4;FR43;Franche-Comte (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.5;1;1.17;0.84;0.67;1.7;1.7;1.4;1;1.4;1.5;1.5;1.6;1.6;1.6;0.9;1.9;1.4;1.6;1.8;1.1;1.4
467;RT;F;TOTAL;FR;FR5;FR51;Pays de la Loire (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.73;0.21;0.58;0.86;0.86;1.3;1;0.9;0.8;1;1.1;1.6;1.4;1.5;2.1;1.9;2.2;1.9;2.2;1.6;2;1.9
468;RT;F;TOTAL;FR;FR5;FR52;Bretagne (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.77;1.36;1.01;1.32;1.57;1.2;1.8;1.2;1.2;2;1.5;1.8;1.9;2.7;2.3;2.4;3.2;2.8;2.4;2.8;2.5;2.7
469;RT;F;TOTAL;FR;FR5;FR53;Poitou-Charentes (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.54;0.65;1.41;0.65;0.87;0.5;0.4;1.1;1.3;0.6;1;1.1;0.8;1.3;1.6;1.6;1.2;2.5;2.3;2.3;2.2;1.4
470;RT;F;TOTAL;FR;FR6;FR61;Aquitaine (NUTS 2013);A-R_V-Y;A_U;A_B;A15-A19_B90;Tuberculose;0.74;0.52;0.58;0.76;0.94;0.6;0.3;0.5;0.5;0.6;1.6;0.8;1.3;1.5;1.4;1.3;1.4;1.9;1.7;2;1.1;1.8
