map;niveau_0;niveau_1;niveau_2;region
FR;FR;FR;FR;France
FR1;FR;FR1;FR1;ile de France
FR10;FR;FR1;FR10;ile de France
FR2;FR;FR2;FR2;Bassin Parisien (NUTS 2013)
FR21;FR;FR2;FR21;Champagne-Ardenne (NUTS 2013)
FR22;FR;FR2;FR22;Picardie (NUTS 2013)
FR23;FR;FR2;FR23;Haute-Normandie (NUTS 2013)
FR24;FR;FR2;FR24;Centre (FR) (NUTS 2013)
FR25;FR;FR2;FR25;Basse-Normandie (NUTS 2013)
FR26;FR;FR2;FR26;Bourgogne (NUTS 2013)
FR3;FR;FR3;FR3;Nord - Pas-de-Calais (NUTS 2013)
FR30;FR;FR3;FR30;Nord - Pas-de-Calais (NUTS 2013)
FR4;FR;FR4;FR4;Est (FR) (NUTS 2013)
FR41;FR;FR4;FR41;Lorraine (NUTS 2013)
FR42;FR;FR4;FR42;Alsace (NUTS 2013)
FR43;FR;FR4;FR43;Franche-Comte (NUTS 2013)
FR5;FR;FR5;FR5;Ouest (FR) (NUTS 2013)
FR51;FR;FR5;FR51;Pays de la Loire (NUTS 2013)
FR52;FR;FR5;FR52;Bretagne (NUTS 2013)
FR53;FR;FR5;FR53;Poitou-Charentes (NUTS 2013)
FR6;FR;FR6;FR6;Sud-Ouest (FR) (NUTS 2013)
FR61;FR;FR6;FR61;Aquitaine (NUTS 2013)
FR62;FR;FR6;FR62;Midi-Pyrenees (NUTS 2013)
FR63;FR;FR6;FR63;Limousin (NUTS 2013)
FR7;FR;FR7;FR7;Centre-Est (FR) (NUTS 2013)
FR71;FR;FR7;FR71;Rhone-Alpes (NUTS 2013)
FR72;FR;FR7;FR72;Auvergne (NUTS 2013)
FR8;FR;FR8;FR8;Mediterranee (NUTS 2013)
FR81;FR;FR8;FR81;Languedoc-Roussillon (NUTS 2013)
FR82;FR;FR8;FR82;Provence-Alpes-Cote d'Azur (NUTS 2013)
FR83;FR;FR8;FR83;Corse (NUTS 2013)
