,sex,age,geo_niv_0,geo_niv_1,nom_geo_niv_1,geo_niv_2,region,icd10_niv_0,icd10_nom_niv_1,icd10_niv_1,icd10_nom_niv_1.1,icd10_niv_2,icd10_nom_niv_2,icd10_niv_3,maladies,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994
0,F,TOTAL,FR,FR1,ile de France,FR10,ile de France,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.67,0.56,0.69,0.6,0.72,0.8,0.8,0.8,0.9,1.1,1.1,1.1,1.3,1.2,1.4,1.5,1.7,1.5,1.4,1.4,1.6,1.4
1,F,TOTAL,FR,FR2,Bassin Parisien ,FR21,Champagne-Ardenne ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.87,0.73,0.58,1.02,1.02,0.6,0.9,1.2,0.9,0.7,1.3,0.4,1.2,1.2,2.0,0.7,2.2,0.7,0.9,2.2,1.3,2.8
2,F,TOTAL,FR,FR2,Bassin Parisien ,FR22,Picardie ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.1,0.51,0.51,0.41,0.81,0.4,0.6,0.5,0.7,0.4,0.6,0.7,0.9,1.6,1.6,1.4,1.1,1.3,1.3,1.2,1.0,1.7
3,F,TOTAL,FR,FR2,Bassin Parisien ,FR23,Haute-Normandie ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,1.04,0.73,0.73,0.84,1.16,1.4,1.2,1.6,0.7,1.5,1.5,1.2,1.5,1.4,2.7,1.4,2.5,1.4,1.8,1.1,2.1,2.1
4,F,TOTAL,FR,FR2,Bassin Parisien ,FR24,Centre  ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.45,0.83,0.45,0.98,1.37,1.1,0.8,0.9,1.2,1.2,1.7,1.6,1.8,2.1,2.0,1.7,2.2,2.1,1.7,1.5,2.1,2.3
5,F,TOTAL,FR,FR2,Bassin Parisien ,FR25,Basse-Normandie ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,1.05,0.92,0.92,1.18,1.05,1.1,1.6,0.9,1.1,1.2,1.2,1.9,1.7,1.5,1.6,1.6,0.8,3.0,2.3,1.4,1.0,1.5
6,F,TOTAL,FR,FR2,Bassin Parisien ,FR26,Bourgogne ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.24,1.54,1.42,0.71,0.83,1.2,1.4,1.2,1.1,1.4,1.7,1.4,1.3,2.8,1.7,1.8,2.3,1.9,1.8,1.8,2.1,2.5
7,F,TOTAL,FR,FR3,Nord - Pas-de-Calais ,FR30,Nord - Pas-de-Calais ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.52,0.48,0.57,0.95,0.86,0.6,0.8,0.9,0.8,1.0,1.1,1.1,1.1,1.3,1.3,1.2,1.5,1.4,1.5,1.5,1.4,1.4
8,F,TOTAL,FR,FR4,Est  ,FR41,Lorraine ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.59,0.92,0.92,0.5,0.75,0.7,0.7,1.3,1.1,1.0,1.4,1.5,1.3,0.8,0.9,1.2,1.8,1.6,0.9,1.1,1.4,0.9
9,F,TOTAL,FR,FR4,Est  ,FR42,Alsace ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.62,0.94,0.94,0.63,0.84,0.5,0.6,1.4,0.7,0.4,0.6,1.0,1.5,1.5,1.3,0.9,2.0,1.4,1.4,2.1,0.9,2.0
10,F,TOTAL,FR,FR4,Est  ,FR43,Franche-Comte ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.5,1.0,1.17,0.84,0.67,1.7,1.7,1.4,1.0,1.4,1.5,1.5,1.6,1.6,1.6,0.9,1.9,1.4,1.6,1.8,1.1,1.4
11,F,TOTAL,FR,FR5,Ouest  ,FR51,Pays de la Loire ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.73,0.21,0.58,0.86,0.86,1.3,1.0,0.9,0.8,1.0,1.1,1.6,1.4,1.5,2.1,1.9,2.2,1.9,2.2,1.6,2.0,1.9
12,F,TOTAL,FR,FR5,Ouest  ,FR52,Bretagne ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.77,1.36,1.01,1.32,1.57,1.2,1.8,1.2,1.2,2.0,1.5,1.8,1.9,2.7,2.3,2.4,3.2,2.8,2.4,2.8,2.5,2.7
13,F,TOTAL,FR,FR5,Ouest  ,FR53,Poitou-Charentes ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.54,0.65,1.41,0.65,0.87,0.5,0.4,1.1,1.3,0.6,1.0,1.1,0.8,1.3,1.6,1.6,1.2,2.5,2.3,2.3,2.2,1.4
14,F,TOTAL,FR,FR6,Sud-Ouest  ,FR61,Aquitaine ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.74,0.52,0.58,0.76,0.94,0.6,0.3,0.5,0.5,0.6,1.6,0.8,1.3,1.5,1.4,1.3,1.4,1.9,1.7,2.0,1.1,1.8
15,F,TOTAL,FR,FR6,Sud-Ouest  ,FR62,Midi-Pyrenees ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.78,0.13,0.86,1.0,0.74,0.7,0.5,1.4,1.2,1.0,1.3,1.1,1.2,1.2,1.5,1.1,2.0,2.3,1.5,1.3,1.4,1.7
16,F,TOTAL,FR,FR6,Sud-Ouest  ,FR63,Limousin ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.52,0.52,0.52,0.78,0.26,0.5,0.5,1.3,2.1,2.6,1.6,2.1,2.7,1.3,2.4,1.4,1.1,1.1,0.8,1.9,2.2,1.6
17,F,TOTAL,FR,FR7,Centre-Est  ,FR71,Rhone-Alpes ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.8,0.63,0.85,1.1,0.9,0.8,1.1,0.6,1.0,1.3,1.9,1.4,1.4,1.7,1.7,2.0,1.6,2.0,1.8,1.9,1.9,1.9
18,F,TOTAL,FR,FR7,Centre-Est  ,FR72,Auvergne ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.28,0.28,1.86,0.86,0.86,1.3,0.4,1.2,0.7,0.7,1.3,1.2,1.5,1.2,1.6,1.9,2.4,2.1,1.6,1.3,1.5,0.6
19,F,TOTAL,FR,FR8,Mediterranee ,FR81,Languedoc-Roussillon ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.48,0.56,0.63,0.85,0.57,0.9,0.7,0.9,1.0,1.2,1.3,1.3,1.7,1.6,1.6,1.9,2.1,2.0,0.9,1.4,1.6,1.4
20,F,TOTAL,FR,FR8,Mediterranee ,FR82,Provence-Alpes-Cote d'Azur ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,0.61,0.58,0.7,0.7,0.82,0.9,1.0,0.7,1.2,0.8,1.1,1.3,1.7,1.2,1.7,2.0,1.7,1.7,1.5,1.4,1.4,1.3
21,F,TOTAL,FR,FR8,Mediterranee ,FR83,Corse ,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,,0.6,0.61,0.62,0.62,,1.3,1.3,0.6,,2.0,,0.7,0.7,2.9,1.5,1.5,0.8,1.5,0.8,,0.8
22,F,TOTAL,,,,FR91,,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,,,,,0.42,0.8,0.4,,,0.4,,,,0.4,1.3,,,,,,,
23,F,TOTAL,,,,FR92,,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,,,,0.48,,0.5,0.5,0.5,,,,0.5,1.0,0.5,0.5,,,,,,,
24,F,TOTAL,,,,FR93,,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,,,,0.82,,0.9,,0.9,,0.9,1.0,2.0,1.1,,1.2,,,,,,,
25,F,TOTAL,,,,FR94,,A-R_V-Y,Toutes causes de mortalite,A_U,Causes interne de morbidite et mortalite ,A_B,Certaines maladies infectieuses et parasitaires ,A15-A19_B90,Tuberculose,,,,0.23,0.7,0.5,0.2,0.7,1.5,0.7,0.3,1.3,0.8,0.8,0.5,,,,,,,
