CODE_DIFF,FR_DESC
AGE,Age
TOTAL,Total
,Ans
Y0-29,De 0 à 29 ans
Y_LT1,Moins de 1 an
Y1,1 an
Y1-2,De 1 à 2 ans
Y1-3,De 1 à 3 ans
Y1-4,De 1 à 4 ans
Y1-5,De 1 à 5 ans
Y1-9,De 1 à 9 ans
Y1-14,De 1 à 14 ans
Y_GE1,1 an ou plus
Y_LT2,Moins de 2 ans
Y2,2 ans
Y2-3,De 2 à 3 ans
Y2-4,De 2 à 4 ans
Y2-5,De 2 à 5 ans
Y_GE2,2 ans ou plus
Y_LT3,Moins de 3 ans
Y_LE3,3 ans ou moins
Y3,3 ans
Y3-CSA,De 3 ans à l'âge minimal de scolarisation obligatoire
Y3-4,De 3 à 4 ans
Y3-5,De 3 à 5 ans
Y3-9,De 3 à 9 ans
Y_GE3,3 ans ou plus
Y_GT3,Plus de 3 ans
Y_LT4,Moins de 4 ans
Y_LE4,4 ans ou moins
Y4,4 ans
Y4-5,De 4 à 5 ans
Y_GT4,Plus de 4 ans
Y_LT5,Moins de 5 ans
Y_LE5,5 ans ou moins
Y5,5 ans
Y5-9,De 5 à 9 ans
Y5-10,De 5 à 10 ans
Y5-11,De 5 à 11 ans
Y5-12,De 5 à 12 ans
Y5-14,De 5 à 14 ans
Y5-29,De 5 à 29 ans
Y_GE5,5 ans ou plus
Y_GT5,Plus de 5 ans
CSA-Y12,De l'âge minimal de scolarisation obligatoire à 12 ans
Y_LT6,Moins de 6 ans
Y6,6 ans
Y6-7,De 6 à 7 ans
Y6-9,De 6 à 9 ans
Y6-10,De 6 à 10 ans
Y6-11,De 6 à 11 ans
Y6-12,De 6 à 12 ans
Y7,7 ans
Y7-12,De 7 à 12 ans
Y8,8 ans
Y8-9,De 8 à 9 ans
Y9,9 ans
Y_LT10,Moins de 10 ans
Y10,10 ans
Y10-11,De 10 à 11 ans
Y10-14,De 10 à 14 ans
Y10-15,De 10 à 15 ans
Y10-19,De 10 à 19 ans
Y10-20,De 10 à 20 ans
Y10-29,De 10 à 29 ans
Y_GE10,10 ans ou plus
Y_GT10,Plus de 10 ans
Y_LT11,Moins de 11 ans
Y11,11 ans
